,source,reference,court,nameFirst,nameLast,testator,shipName, dateOfWill,dateOfProbate,role,married,sick,notes,will,summary,transcription,,,,,,,,,,,
646,,,C,Simon,Tucker,Simon Tucker,Royal James,,1621-01-01,,,,probate date: missing month; probate date: missing day; corrected ship name: Royal James,,,,,,,,,,,,,,
647,,,P,George,Tuckwell,George Tuckwell,Bull,,1619-01-01,,,,probate date: missing month; probate date: missing day,,,,,,,,,,,,,,
648,,11/108/86,P,Thomas,Tudd,Thomas Tudd,,1604-04-12,1606-07-15,,,,,,,,,,,,,,,,,,
649,,,C,John,Turber ,John Turber,,,1614-07-23,,,,,,,,,,,,,,,,,,
650,,,P,Robert,Turberville,Robert Turberville,Elizabeth,,1624-01-01,,,,probate date: missing month; probate date: missing day,,,,,,,,,,,,,,
651,,9171/20/183,C,Barnard,Turnard,Barnard Turnard,Ascension,1603-05-30,1606-06-20,,,,additional ship: Dragon,,,,,,,,,,,,,,
652,,11/128/100,P,Christopher,Turpin,Christopher Turpin,New Year's Gift,1615-10-14,1616-07-11,caulker,,,,,,,,,,,,,,,,,
653,,,C,Anthonie,Tuttie,Anthonie Tuttie,Dragon,1616-02-10,1617-06-13,,,,unsure ship name,,,,,,,,,,,,,,
654,,,P,Robert,Twimbloe,Robert Twimbloe,Charles,,1618-01-01,,,,probate date: missing month; probate date: missing day,,,,,,,,,,,,,,
655,,9171/22/225,C,John,Tye,John Tye,Hector,1612-02-14,1613-11-20,,,,,,,,,,,,,,,,,,
656,,,P,George,Tyler,George Tyler,Dragon,1617-05-03,1617-06-18,,,,,,,,,,,,,,,,,,
657,,,C,Mathewe,Typlen,Mathewe Typlen,Globe,1617-08-19,1617-09-22,,,,,,,,,,,,,,,,,,
658,,,C,Jacob,Tyro,Jacob Tyro,Charles,1618-02-25,1618-09-19,,,,alternate first name: Timm,,,,,,,,,,,,,,
659,,,C,Jas,Tyson,Jas Tyson,Charles,,1621-01-01,,,,alternate last name: Tison; probate date: missing month; probate date: missing day,,,,,,,,,,,,,,
660,,,C,Abraham,Vallis,Abraham Vallis,New Year's Gift,,1616-01-01,,,,alternate last name: Vallies; probate date: missing month; probate date: missing day,,,,,,,,,,,,,,
661,,,C,Andrew,Vandansker,Andrew Vandansker,Trades Increase,1613-04-24,1614-08-06,,,,,,,,,,,,,,,,,,
662,,,C,Robert,Vaughan,Robert Vaughan,Rose,1617-01-15,1618-09-22,,,,corrected ship name: Rose of London,,,,,,,,,,,,,,
663,,,C,Gregory,Venne,Gregory Venne,Thomas,1617-05-14,1618-09-14,,,,,,,,,,,,,,,,,,
664,,11/107/388v,P,Robert,Venus,Robert Venus,,1604-02-17,1606-06-04,,,,,,,,,,,,,,,,,,
665,,,C,John,Verdue,John Verdue,,1606-05-16,1606-06-17,,,,uncertain first name,,,,,,,,,,,,,,
666,,11/107/383v,P,William,Vernute,William Vernute,Dragon,1605-03-03,1606-06-06,,,,,,,,,,,,,,,,,,
667,,11/107/336,P,Thomas,Vyans,Thomas Vyans,Dragon,1604-12-17,1606-06-16,,,,,,,,,,,,,,,,,,
668,,,C,Robert,Vye,Robert Vye,Clove,1614-09-13,1615-11-16,,,,additional ship: Concord,,,,,,,,,,,,,,
669,,,C,Thomas,Wakeline,Thomas Wakeline,New Year's Gift,1616-06-03,1616-07-13,,,,,,,,,,,,,,,,,,
670,,,C,John,Walker,John Walker,Anne,,1619-01-01,,,,probate date: missing month; probate date: missing day,,,,,,,,,,,,,,
671,,11/108/39,P,Robert,Wallis,Robert Wallis,,1604-01-31,1606-07-15,,,,,,,,,,,,,,,,,,
672,,,P,Henry,Walter,Henry Walter,Hope,1618-03-15,1618-09-28,,,,,,,,,,,,,,,,,,
673,,,P,Gilbert,Waltham,Gilbert Waltham,,1613-09-02,1613-12-23,,,,,,,,,,,,,,,,,,
674,,,C,,Wardle,Wardle,,,1698-01-01,,,,missing first name; alternate last name: Wardell; probate date: missing month; probate date: missing day,,,,,,,,,,,,,,
675,,11/126/176v,P,John,Washer,John Washer,James,1613-04-22,1615-10-16,,,,,,,,,,,,,,,,,,
676,,,P,John,Washington,John Washington,Charles,1618-04-25,1618-09-29,,,,,,,,,,,,,,,,,,
677,,,P,William,Watkins,William Watkins,London,,1627-01-01,,,,probate date: missing month; probate date: missing day,,,,,,,,,,,,,,
678,,,C,Peter,Watson,Peter Watson,Hector,1613-08-04,1614-01-05,,,,,,,,1,,,,,,,,,,
679,,,C,Roger,Watson,Roger Watson,New Year's Gift,1616-06-06,1616-07-17,,,,,,,,,,,,,,,,,,
680,,,C,Robert,Way,Robert Way,Eagle,,1623-01-01,,,,alternate last name: Wey; alternate last name: Wye; probate date: missing month; probate date: missing day,,,,,,,,,,,,,,
681,,11/102/318v,P,John,Webb,John Webb,Dragon,1601-09-04,1603-11-03,,,,,,,,,,,,,,,,,,
682,,,P,Rowland,Webb,Rowland Webb,,1611-09-14,1614-08-30,,,,,,,,,,,,,,,,,,
683,,,C,William,Webb,William Webb,,1617-10-12,1618-09-17,,,,,,,,,,,,,,,,,,
684,,,C,Jas,Webb,Jas Webb,Clove,,1622-01-01,,,,probate date: missing month; probate date: missing day,,,,,,,,,,,,,,
685,,,P,James,Webber,James Webber,Clove,,1622-01-01,,,,probate date: missing month; probate date: missing day,,,,,,,,,,,,,,
686,,,C,Thomas,Webstar,Thomas Webstar,,,1619-01-01,,,,probate date: missing month; probate date: missing day,,,,,,,,,,,,,,
687,,,C,Richard,Weekes,Richard Weekes,Star,,1622-01-01,,,,corrected ship name: Starr; probate date: missing month; probate date: missing day,,,,,,,,,,,,,,
688,,,P,George,Weigh,George Weigh,Charles,,1627-01-01,,,,probate date: missing month; probate date: missing day,,,,,,,,,,,,,,
689,LMA Microfilm,,C,Henry,Welham,Henry Welham,Bee,,1623-01-01,,,,alternate last name: Wellham; probate date: missing month; probate date: missing day,,,,,,,,,,,,,,
690,,,C,David,Welsh,David Welsh,Discovery,,1625-01-01,,,,probate date: missing month; probate date: missing day,,,,,,,,,,,,,,
691,,,C,Stephen,Welshe,Stephen Welshe,Royal James,,1621-01-01,,,,probate date: missing month; probate date: missing day,,,,,,,,,,,,,,
692,,,C,Henry,Weme,Henry Weme,Clove,1616-12-15,1617-07-01,,,,alternate last name: Wemys,,,,,,,,,,,,,,
693,,11/123/721,P,obert,Wentworthe,obert Wentworthe,,,1614-06-28,merchant,,,,,,,,,,,,,,,,,
694,,11/102/157,P,Henrie,West,Henrie West,Hector,1603-05-30,1603-10-15,,,,,,,,,,,,,,,,,,
695,,,P,Thomas,West,Thomas West,Royal James,,1621-01-01,,,,probate date: missing month; probate date: missing day,,,,,,,,,,,,,,
696,,,P,Richard,Westbye,Richard Westbye,,,1619-01-01,,,,probate date: missing month; probate date: missing day,,,,,,,,,,,,,,
697,,,P,Henry,Westway,Henry Westway,Lion,,1627-01-01,,,,corrected ship name: Lyon; probate date: missing month; probate date: missing day,,,,,,,,,,,,,,
698,,,P,William,Westwood,William Westwood,,,1614-07-05,,,,uncertain first name,,,,,,,,,,,,,,
699,,,P,Thomas,Wharton,Thomas Wharton,Floriander,,1618-01-01,,,,probate date: missing month; probate date: missing day,,,,,,,,,,,,,,
700,,,C,Cuthbert,Wherry,Cuthbert Wherry,Supply,,1622-01-01,,,,alternate last name: Whary; alternate last name: Wharie; probate date: missing month; probate date: missing day,,,,,,,,,,,,,,
701,,,C,Thomas,Whichales,Thomas Whichales,Charles,1616-01-27,1618-09-16,,,,alternate last name: Witchell,,,,,,,,,,,,,,
702,,9171/20/197v,C,Roger,White,Roger White,Dragon,1605-07-27,1606-08-12,,,,unsure ship name,,,,,,,,,,,,,,
703,,,C,Thomas,White,Thomas White,James,1612-01-21,1615-09-15,,,,,,,,,,,,,,,,,,
704,,,C,William,White,William White,Expedition,,1617-01-01,,,,probate date: missing month; probate date: missing day,,,,,,,,,,,,,,
705,,,P,James ,White,James  White,Royal James,,1621-01-01,,,,probate date: missing month; probate date: missing day,,,,,,,,,,,,,,
706,,,C,Nicholas,Whitfeild,Nicholas Whitfeild,James,1613-01-15,1615-09-22,,,,,,,,,,,,,,,,,,
707,,11/101/398v,P,William,Whitinge,William Whitinge,Ascension,1601-09-04,1603-07-01,,,,,,,,,,,,,,,,,,
708,,,P,Thomas,Whittington,Thomas Whittington,,1610-03-19,1614-06-23,,,,,,,,,,,,,,,,,,
709,,,C,William,Whyte,William Whyte,Expedition,1616-11-13,1617-06-16,,,,,,,,,,,,,,,,,,
710,,9171/20/193,C,Robert,Wickes,Robert Wickes,Tiger,1604-10-21,1606-07-15,,,,,,,,,,,,,,,,,,
711,,,P,Richard,Wickham,Richard Wickham,Clove,,1621-01-01,,,,probate date: missing month; probate date: missing day,,,,,,,,,,,,,,
712,,,P,Alexander,Wicksted,Alexander Wicksted,,1610-03-21,1613-10-22,,,,,,,,,,,,,,,,,,
713,,11/122/333,P,Alexander,Wicksted/Weekestede,Alexander Wicksted,,,1614-01-21,clerk for EIC,,,made a 2nd will as preacher of Peppercorn,,,,,,,,,,,,,,
714,,,C,Richard,Wiles,Richard Wiles,,,1610-01-01,,,,probate date: missing month; probate date: missing day,,,,,,,,,,,,,,
715,,,P,John,Wilkenson,John Wilkenson,,1613-08-19,1613-12-14,,,,,,,,,,,,,,,,,,
716,,,P,John,Wilkin,John Wilkin,Royal James,,1621-01-01,,,,probate date: missing month; probate date: missing day,,,,,,,,,,,,,,
717,,,P,Morris,Wilkinson,Morris Wilkinson,London,,1627-01-01,,,,probate date: missing month; probate date: missing day,,,,,,,,,,,,,,
718,,11/102/214,P,Georg,Wilkinsonne,Georg Wilkinsonne,Dragon,1602-12-08,1603-10-08,,,,,,,,,,,,,,,,,,
719,,,C,William,Willams,William Willams,Trades Increase,,1614-01-01,,,,alternate last name: Williames; probate date: missing month; probate date: missing day,,,,,,,,,,,,,,
720,,,C,Arthur,Willard,Arthur Willard,Anne,,1619-01-01,,,,alternate last name: Wyllard; probate date: missing month; probate date: missing day,,,,,,,,,,,,,,
721,,,C,William,Williames,William Williames,Trades Increase,1613-04-16,1614-08-30,,,,,,,,,,,,,,,,,,
722,,,C,ffrances,Williams,ffrances Williams,,1614-02-25,1614-12-13,,,,,,,,,,,,,,,,,,
723,,,C,Frances,Williams,Frances Williams,,1614-02-25,1614-12-13,,,,,,,,,,,,,,,,,,
724,,,C,John,Williams,John Williams,Clove,1604-02-19,1614-12-22,,,,,,,,,,,,,,,,,,
725,,,C,Edward,Williams,Edward Williams,,1613-01-12,1614-12-30,,,,,,,,,,,,,,,,,,
726,,11/126/111v,P,John,Williams,John Williams,,1610-03-06,1615-09-30,,,,,,,,,,,,,,,,,,
727,,11/130/282,P,Edward ,Williams,Edward  Williams,Peppercorn,,1617-09-12,bos'n,,,,,,,,,,,,,,,,,
728,,,P,Edward,Williams,Edward Williams,Peppercorn,1617-07-28,1617-09-13,,,,additional ship: Globe,,,,,,,,,,,,,,
729,,,C,Thomas,Williams,Thomas Williams,,1615-12-07,1617-09-26,,,,,,,,,,,,,,,,,,
730,,,P,George,Williams,George Williams,Royal James,,1621-01-01,,,,probate date: missing month; probate date: missing day,,,,,,,,,,,,,,
731,,,C,John,Willis,John Willis,,1615-08-23,1615-09-13,,,,,,,,,,,,,,,,,,
732,,,C,Roger,Willson,Roger Willson,New Year's Gift,1616-05-28,1616-07-12,,,,,,,,,,,,,,,,,,
733,,11/107/387v,P,John,Wilson,John Wilson,Emanuell,1605-09-05,1621-10-16,,,,,,,,,,,,,,,,,,
734,,,C,Roger,Wilson,Roger Wilson,New Year's Gift,,1616-01-01,,,,alternate last name: Willson; probate date: missing month; probate date: missing day,,,,,,,,,,,,,,
735,,,C,George,Wilson,George Wilson,New Year's Gift,1619-09-15,1621-01-08,,,,,,,,,,,,,,,,,,
736,,,C,John,Windresse,John Windresse,Dragon,1613-10-17,1614-07-14,,,,,,,,,,,,,,,,,,
737,,,C,Robert,Winnie,Robert Winnie,Expedition,1617-01-05,1617-06-13,,,,,,,,,,,,,,,,,,
738,,??,C,John,Winston,John Winston,,1608-03-07,1611-04-08,,,,,,,,,,,,,,,,,,
739,,11/152/835,P,Walter ,Winter,Walter Winter ,Hart,,1627-12-12,merchant tailor,,,,,,,,,,,,,,,,,
740,,11/102/187,P,William,Winter,William Winter,Dragon,1602-02-26,1603-10-11,,,,,,,,,,,,,,,,,,
741,,9171/21/200,C,George,Winter,George Winter,Hopewell,1609-08-20,1609-11-23,,,,,,,,,,,,,,,,,,
742,,11/128/171,P,John,Wise,John Wise,New Year's Gift,1616-05-20,1616-08-05,sailor,,,,,,,,,,,,,,,,,
743,,,P,Nicholas,Withen,Nicholas Withen,Dolphin,,1628-01-01,,,,probate date: missing month; probate date: missing day,,,,,,,,,,,,,,
744,,9171/20/172,C,Charles,Wood,Charles Wood,Dragon,1605-11-07,1606-05-31,,,,,,,,,,,,,,,,,,
745,,,C,Gwye,Wood,Gwye Wood,Peppercorn,1616-03-18,1617-09-13,,,,alternate first name: Gwido,,,,,,,,,,,,,,
746,,,C,Thomas,Wood,Thomas Wood,Lion,,1620-01-01,,,,probate date: missing month; probate date: missing day,,,,,,,,,,,,,,
747,,,C,John,Wood,John Wood,Jonas,,1623-01-01,,,,probate date: missing month; probate date: missing day,,,,,,,,,,,,,,
748,,,C,Elias,Wood,Elias Wood,Discovery,,1625-01-01,,,,probate date: missing month; probate date: missing day,,,,,,,,,,,,,,
749,,,C,Thomas,Woode,Thomas Woode,Clove,,1623-01-01,,,,probate date: missing month; probate date: missing day,,,,,,,,,,,,,,
750,LMA Microfilm,,C,Thomas,Woode,Thomas Woode,Discovery,,1625-01-01,,,,probate date: missing month; probate date: missing day,,,,,,,,,,,,,,
751,,,P,Walter,Woodgreene,Walter Woodgreene,,1603-11-20,1603-11-29,,,,,,,,,,,,,,,,,,
752,,,C,Thomas,Woodyard,Thomas Woodyard,Solomon,1614-02-08,1618-09-17,,,,,,,,,,,,,,,,,,
753,,,P,Richard,Woolters,Richard Woolters,Charles,1615-03-16,1618-09-21,,,,,,,,,,,,,,,,,,
754,,,C,Thomas,Worsley,Thomas Worsley,,1616-09-02,1617-07-04,,,,uncertain first name,,,,,,,,,,,,,,
755,,,C,Edward,Worsopp,Edward Worsopp,Royal James,1619-01-09,1622-08-04,,,,,,,,,,,,,,,,,,
756,LMA Microfilm,,C,Edward,Wotton,Edward Wotton,Globe,,1623-01-01,,,,alternate last name: Wooten; probate date: missing month; probate date: missing day,,,,,,,,,,,,,,
757,,,C,Richard,Wraxall,Richard Wraxall,,1618-01-30,1620-03-07,,,,,,,,,,,,,,,,,,
758,,,C,Peter,Wright,Peter Wright,Clove,,1625-01-01,,,,probate date: missing month; probate date: missing day,,,,,,,,,,,,,,
759,,,P,Christopher,Wright,Christopher Wright,Jonas,,1626-01-01,,,,probate date: missing month; probate date: missing day,,,,,,,,,,,,,,
760,,,P,John,Wrighte,John Wrighte,Hector,1603-08-08,1613-10-30,,,,,,,,,,,,,,,,,,
761,,,P,John,Wrighte,John Wrighte,Hector,1603-08-08,1613-10-30,,,,,,,,,,,,,,,,,,
762,,,C,John,Wrighte,John Wrighte,Thomas,,1613-11-12,,,,unsure ship name,,,,,,,,,,,,,,
763,,,C,John,Wrighte,John Wrighte,Thomas,,1613-11-12,,,,,,,,,,,,,,,,,,
764,,,P,William,Wyet,William Wyet,Globe,,1623-01-01,quartermaster,,,probate date: missing month; probate date: missing day,,,,,,,,,,,,,,
765,,,C,Seabrion,Wynon,Seabrion Wynon,Royal James,,1623-01-01,,,,probate date: missing month; probate date: missing day,,,,,,,,,,,,,,
766,,11/132/701,P,Thomas,Martin,Thomas Martin,Rose,,1618-01-01,gunner,,,,,,,,,,,,,,,,,
