,source,reference,court,nameFirst,nameLast,testator,shipName, dateOfWill,dateOfProbate,role,married,sick,notes,will,summary,transcription,,,,,,,,,,,
157,,,P,William,Harrision,William Harrision,Hector,1613-08-16,1613-10-22,,,,,,,,,,,,,,,,,,
158,,,C,Francis,Harvey,Francis Harvey,Diamond,,1622-01-01,,,,probate date: missing month; probate date: missing day,,,,,,,,,,,,,,
159,,9171/22/213v,C,George,Harwood,George Harwood,Hector,1613-02-13,1613-11-02,,,,,,,,,,,,,,,,,,
160,,9171/21/265,C,John,Hawkins,John Hawkins,Hector,1609-11-13,1610-06-25,,,,,,,,,,,,,,,,,,
161,,,C,George,Hawkins,George Hawkins,Expedition,1615-01-23,1617-03-20,,,,,,,,,,,,,,,,,,
162,,,P,George,Hayes,George Hayes,Charles,1618-04-03,1618-09-16,,,,,,,,,,,,,,,,,,
163,,11/107/401v,P,Thomas,Hayles,Thomas Hayles,Dragon,1605-03-19,1606-06-06,,,,,,,,,,,,,,,,,,
164,,,C,Robert,Haynes,Robert Haynes,Hector,1613-09-02,1614-03-11,,,,,,,,,,,,,,,,,,
165,,,P,John,Haynes,John Haynes,Abigail,,1627-01-01,,,,probate date: missing month; probate date: missing day,,,,,,,,,,,,,,
166,,,P,John,Hayward,John Hayward,Exchange,,1625-01-01,,,,probate date: missing month; probate date: missing day,,,,,,,,,,,,,,
167,,,C,Ralph,Hearne,Ralph Hearne,,,1614-01-01,,,,uncertain first name; probate date: missing month; probate date: missing day,,,,,,,,,,,,,,
168,LMA Microfilm,,C,William,Heathfeild,William Heathfeild,Diamond,1622-07-06,1622-08-09,,,,,,,,,,,,,,,,,,
169,,,C,Thomas,Hebblethwaite,Thomas Hebblethwaite,Exchange,,1623-01-01,,,,alternate last name: Heblethwit; probate date: missing month; probate date: missing day,,,,,,,,,,,,,,
170,,,P,Percy,Hedges,Percy Hedges,New Year's Gift,,1622-01-01,,,,probate date: missing month; probate date: missing day,,,,,,,,,,,,,,
171,,9171/21/203v,C,Anthony,Hedworth,Anthony Hedworth,,1609-04-06,1609-12-05,,,,,,,,,,,,,,,,,,
172,,,C,John,Hellilfield,John Hellilfield,Hector,,1622-01-01,,,,alternate last name: Ellifield; probate date: missing month; probate date: missing day,,,,,,,,,,,,,,
173,,,C,William,Helme,William Helme,Merchant's Hope,,1623-01-01,,,,probate date: missing month; probate date: missing day,,,,,,,,,,,,,,
174,,,P,John,Helmer,John Helmer,Charles,,1626-01-01,,,,probate date: missing month; probate date: missing day,,,,,,,,,,,,,,
175,,,C,John,Hemingway,John Hemingway,White Bear,,1625-01-01,,,,probate date: missing month; probate date: missing day,,,,,,,,,,,,,,
176,,,C,John,Hertfordshire,John Hertfordshire,William,,1625-01-01,,,,alternate last name: Hartfordshiere; probate date: missing month; probate date: missing day,,,,,,,,,,,,,,
177,,,C,Sam,Hewes,Sam Hewes,Hope,,1618-01-01,,,,probate date: missing month; probate date: missing day,,,,,,,,,,,,,,
178,,11/124/700,P,ffrauncis,Hewetson,ffrauncis Hewetson,Trades Increase,1613-04-22,1614-12-19,,,,alternate last name: Huetson,,,,,,,,,,,,,,
179,LMA Microfilm,,C,Richard,Heye,Richard Heye,,1613-10-30,1614-01-13,,,,,,,,,,,,,,,,,,
180,,,P,John,Hickman,John Hickman,Solomon,1617-01-13,1618-11-13,,,,,,,,,,,,,,,,,,
181,,,P,Thomas,Hickocke,Thomas Hickocke,,1612-09-28,1613-10-29,,,,,,,,,,,,,,,,,,
182,,,C,Edmund,Hicks,Edmund Hicks,Solomon,1617-07-11,1618-09-18,,,,unsure ship name: Solomon; additional ship: Charles,,,,,,,,,,,,,,
183,,,C,Boniface,Hide,Boniface Hide,Clove,,1623-01-01,,,,probate date: missing month; probate date: missing day,,,,,,,,,,,,,,
184,LMA Microfilm,,C,Josias,Hillary,Josias Hillary,Bull,,1621-01-01,,,,alternate last name: Ellary; probate date: missing month; probate date: missing day,,,,,,,,,,,,,,
185,,,C,William,Hills,William Hills,,1613-04-22,1614-12-05,,,,,,,,,,,,,,,,,,
186,LMA Microfilm,,C,William,Hills,William Hills,,1615-06-06,1617-06-16,,,,,,,,,,,,,,,,,,
187,,,C,Robert,Hills,Robert Hills,Clove,,1621-01-01,,,,probate date: missing month; probate date: missing day,,,,,,,,,,,,,,
188,,,C,John,Hills,John Hills,Sampson,,1624-01-01,,,,probate date: missing month; probate date: missing day,,,,,,,,,,,,,,
189,,11/128/137,P,Edward,Hillton,Edward Hillton,New Year's Gift,1615-11-22,1616-07-22,sailor,,,,,,,,,,,,,,,,,
190,,,P,Henry,Hitchiocke,Henry Hitchiocke,Exchange,,1623-01-01,,,,probate date: missing month; probate date: missing day,,,,,,,,,,,,,,
191,,,P,Robert,Hobbes,Robert Hobbes,Charles,,1618-01-01,,,,probate date: missing month; probate date: missing day,,,,,,,,,,,,,,
192,,,P,Edward,Holland,Edward Holland,Faulcon,,1627-01-01,,,,probate date: missing month; probate date: missing day,,,,,,,,,,,,,,
193,,11/102/175v,P,John,Hollidaye,John Hollidaye,Hector,1602-10-02,1603-10-19,,,,,,,,,,,,,,,,,,
194,,9171/22/222v,C,William,Holman,William Holman,,1608-12-18,1613-11-16,,,,,,,,,,,,,,,,,,
195,,,C,Thomas,Holme,Thomas Holme,,1613-09-08,1614-06-22,,,,alternate last name: Holmes,,,,,,,,,,,,,,
196,,,C,Griffith,Holmes,Griffith Holmes,Eagle,,1622-01-01,,,,probate date: missing month; probate date: missing day,,,,,,,,,,,,,,
197,,,P,Mark,Hookenett,Mark Hookenett,Charles,,1626-01-01,,,,probate date: missing month; probate date: missing day,,,,,,,,,,,,,,
198,,11/123/703,P,John,Hooper,John Hooper,Trades Increase,1613-03-05,1614-05-23,sailor,,,,,,,,,,,,,,,,,
199,,11/107/347v,P,James,Hope,James Hope,Dragon,1605-01-20,1606-06-11,,,,,,,,,,,,,,,,,,
200,,,P,Thomas,Hopwood,Thomas Hopwood,Jonas,,1623-01-01,,,,probate date: missing month; probate date: missing day,,,,,,,,,,,,,,
201,,,C,John,Hore,John Hore,Expedition,1616-10-30,1616-11-26,,,,corrected ship name: Expedition,,,,,,,,,,,,,,
202,,9152/4/xx ,A,Thomas,Horrell,Thomas Horrell,Darling,1612-11-23,1614-07-20,,,,,,,,,,,,,,,,,,
203,,NO OW,C,William,Howell,William Howell,Globe,1612-09-03,1615-09-20,mariner,,,,,,,,,,,,,,,,,
204,,11/132/483,P,William,Howell,William Howell,Hope,,1618-11-09,carpenter,,,probate date: missing month; probate date: missing day,,,,,,,,,,,,,,
205,,,C,Samuell,Howes,Samuell Howes,Hope,1617-12-09,1618-10-05,,,,alternate last name: Hughes,,,,,,,,,,,,,,
206,LMA Microfilm,,C,William,Hoyden,William Hoyden,Dragon,1614-05-13,1614-06-23,,,,,,,,,,,,,,,,,,
207,LMA Microfilm,,C,Jesper,Huggoner,Jesper Huggoner,Trades Increase,1612-05-04,1614-09-13,,,,,,,,,,,,,,,,,,
208,,,P,David,Hughes,David Hughes,Dragon,1613-10-18,1614-07-04,,,,,,,,,,,,,,,,,,
209,LMA Microfilm,,C,Griffine,Hughes,Griffine Hughes,,1616-07-16,1616-08-17,,,,,,,,,,,,,,,,,,
